,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.9227166276346604,0.9158576051779935,0.8761609907120743,0.8955696202531646,0.9745033904135547
Decision Tree,0.9718969555035128,0.9901639344262295,0.934984520123839,0.9617834394904459,0.9937351687627176
Random Forest,0.9836065573770492,0.9936102236421726,0.9628482972136223,0.9779874213836478,0.9979272708191216
XGBoost,0.9800936768149883,0.9841772151898734,0.9628482972136223,0.97339593114241,0.9985657063896032
